category,subcategory,date purchased,date first viewed,price,email received
Shoes,Boat,2014-02-08,2013-11-26,41.09,1
Shoes,Sneakers,2014-02-15,2013-12-03,90.6,0
Shoes,Sneakers,2014-02-10,2013-07-24,37.39,1
Shoes,Dress,2014-02-15,2014-02-05,31.39,1
Pants,Long,2014-02-08,2010-01-16,93.6,1
Shoes,Dress,2014-02-12,2013-07-26,25.72,0
Pants,Long,2014-02-14,2013-12-02,86.6,1
Shoes,Boat,2014-02-13,2014-01-17,79.6,1
Pants,Short,2014-02-17,2014-02-07,54.09,1
Shoes,Dress,2014-02-06,2010-01-14,89.6,0
Pants,Long,2014-02-14,2013-07-28,37.39,1
Shoes,Dress,2014-02-04,2014-01-25,42.39,1
Shoes,Boat,2014-02-06,2013-11-24,30.39,1
Shoes,Boat,2014-02-05,2010-01-13,42.39,1
Pants,Short,2014-02-10,2012-08-13,37.72,1
Shoes,Sneakers,2014-02-16,2014-02-06,30.39,0
Pants,Short,2014-02-11,2014-02-01,92.6,1
Pants,Short,2014-02-12,2013-11-30,44.09,1
Shoes,Boat,2014-02-04,2014-01-08,75.6,0
Shoes,Dress,2014-02-06,2014-01-27,37.39,1
Shoes,Dress,2014-02-16,2014-02-06,60.09,1
Shoes,Sneakers,2014-02-14,2014-02-04,35.39,1
Pants,Short,2014-02-07,2013-07-21,36.39,1
Shirts,Long-sleeve,2014-02-11,2010-01-19,78.6,0
Shoes,Dress,2014-02-09,2014-01-13,28.39,1
Shoes,Sneakers,2014-02-05,2014-01-09,25.72,1
Shoes,Sneakers,2014-02-12,2014-02-02,39.39,1
Shoes,Sneakers,2014-02-18,2012-08-21,35.0,1
Shoes,Dress,2014-02-18,2014-02-08,49.09,1
Pants,Short,2014-02-10,2014-01-14,35.39,1
Shoes,Boat,2014-02-12,2014-01-16,29.72,1
Pants,Short,2014-02-16,2014-02-06,83.6,1
Shoes,Boat,2014-02-10,2014-01-14,29.72,1
Pants,Short,2014-02-06,2014-01-27,30.39,1
Pants,Short,2014-02-10,2010-01-18,39.39,1
Shoes,Dress,2014-02-04,2010-01-12,36.72,1
Shirts,Long-sleeve,2014-02-07,2014-01-28,86.6,1
Shoes,Sneakers,2014-02-15,2014-01-19,47.39,1
Shirts,Long-sleeve,2014-02-08,2012-08-11,53.09,1
Shoes,Boat,2014-02-13,2013-07-27,25.0,1
Pants,Long,2014-02-14,2013-07-28,89.6,1
Shirts,T-shirt,2014-02-11,2014-01-15,22.72,1
Pants,Long,2014-02-05,2014-01-26,51.09,1
Pants,Short,2014-02-14,2014-01-18,56.09,1
Shoes,Sneakers,2014-02-04,2012-08-07,29.0,0
Pants,Long,2014-02-16,2014-02-06,24.0,1
Shoes,Boat,2014-02-07,2013-07-21,34.39,1
Shoes,Dress,2014-02-18,2014-01-22,54.09,1
Shirts,T-shirt,2014-02-13,2014-02-03,88.6,0
Shoes,Dress,2014-02-14,2013-07-28,36.39,1
Pants,Long,2014-02-12,2012-08-15,83.6,1
Pants,Short,2014-02-12,2013-07-26,56.09,1
Shirts,Long-sleeve,2014-02-13,2013-07-27,29.0,1
Shoes,Boat,2014-02-15,2013-07-29,30.72,0
Shoes,Dress,2014-02-09,2014-01-13,77.6,0
Shoes,Dress,2014-02-12,2012-08-15,53.09,1
Shoes,Sneakers,2014-02-16,2013-12-04,81.6,1
Pants,Short,2014-02-18,2013-12-06,32.39,0
Shoes,Dress,2014-02-08,2013-11-26,34.72,1
Shoes,Dress,2014-02-16,2010-01-24,27.0,1
Shirts,T-shirt,2014-02-05,2013-07-19,43.09,0
Shoes,Dress,2014-02-15,2014-02-05,48.09,0
Pants,Short,2014-02-09,2014-01-30,22.72,0
Shoes,Sneakers,2014-02-10,2013-11-28,92.6,1
Shirts,Short-sleeve,2014-02-10,2012-08-13,49.09,0
Shoes,Boat,2014-02-14,2013-07-28,23.0,1
Pants,Long,2014-02-11,2014-02-01,39.39,0
Shoes,Boat,2014-02-09,2013-11-27,37.0,1
Shirts,Short-sleeve,2014-02-17,2013-12-05,30.0,1
Shoes,Sneakers,2014-02-18,2013-08-01,41.39,1
Pants,Long,2014-02-13,2014-02-03,80.6,1
Shoes,Dress,2014-02-07,2013-07-21,42.09,0
Pants,Long,2014-02-15,2014-02-05,92.6,1
Shoes,Dress,2014-02-16,2013-12-04,29.39,1
Shirts,T-shirt,2014-02-15,2014-01-19,39.39,1
Shirts,Short-sleeve,2014-02-13,2010-01-21,91.6,1
Shoes,Sneakers,2014-02-09,2013-07-23,25.72,1
Shoes,Sneakers,2014-02-16,2014-02-06,25.72,1
Pants,Long,2014-02-12,2013-07-26,43.39,1
Shoes,Sneakers,2014-02-05,2013-07-19,92.6,1
Pants,Long,2014-02-16,2013-12-04,45.39,1
Pants,Short,2014-02-08,2013-11-26,88.6,1
Pants,Long,2014-02-16,2014-01-20,35.72,1
Shoes,Dress,2014-02-10,2010-01-18,29.39,0
Shoes,Boat,2014-02-16,2013-12-04,89.6,1
Pants,Long,2014-02-04,2010-01-12,28.0,1
Shoes,Dress,2014-02-05,2014-01-26,37.72,1
Shoes,Boat,2014-02-13,2013-12-01,34.0,1
Shirts,Long-sleeve,2014-02-04,2013-07-18,23.0,1
Shirts,Long-sleeve,2014-02-11,2013-11-29,83.6,0
Shirts,Long-sleeve,2014-02-17,2012-08-20,21.0,1
Pants,Short,2014-02-13,2012-08-16,56.09,1
Shoes,Boat,2014-02-12,2014-01-16,40.0,1
Shoes,Boat,2014-02-12,2012-08-15,28.0,0
Shoes,Boat,2014-02-12,2013-07-26,27.39,1
Shirts,Long-sleeve,2014-02-06,2013-11-24,25.0,1
Shoes,Dress,2014-02-04,2014-01-25,32.72,1
Pants,Short,2014-02-15,2010-01-23,33.39,0
Shirts,Long-sleeve,2014-02-18,2010-01-26,48.09,1
Shoes,Sneakers,2014-02-07,2013-07-21,36.72,1
Shirts,Long-sleeve,2014-02-12,2010-01-20,24.72,1
Shirts,Short-sleeve,2014-02-16,2012-08-19,49.09,1
Pants,Short,2014-02-10,2014-01-31,29.72,1
Shirts,T-shirt,2014-02-08,2014-01-12,44.09,1
Shoes,Dress,2014-02-10,2010-01-18,59.09,1
Pants,Short,2014-02-04,2014-01-25,92.6,1
Pants,Long,2014-02-04,2013-07-18,89.6,0
Shoes,Sneakers,2014-02-05,2013-07-19,79.6,0
Pants,Short,2014-02-07,2013-07-21,33.0,1
Pants,Long,2014-02-18,2012-08-21,33.0,1
Pants,Short,2014-02-16,2014-01-20,23.0,1
Shirts,T-shirt,2014-02-13,2014-01-17,40.0,0
Shirts,Short-sleeve,2014-02-11,2012-08-14,42.72,0
Shoes,Boat,2014-02-06,2013-11-24,85.6,1
Shirts,Long-sleeve,2014-02-14,2014-02-04,25.0,1
Shirts,T-shirt,2014-02-14,2012-08-17,21.0,1
Shirts,Short-sleeve,2014-02-13,2014-02-03,35.0,1
Shoes,Sneakers,2014-02-17,2010-01-25,23.72,1
Shoes,Dress,2014-02-05,2012-08-08,84.6,0
Shoes,Dress,2014-02-13,2012-08-16,89.6,1
Pants,Long,2014-02-12,2013-07-26,41.72,1
Shoes,Dress,2014-02-09,2012-08-12,41.09,1
Shoes,Sneakers,2014-02-08,2014-01-12,31.0,0
Shoes,Dress,2014-02-09,2013-07-23,33.0,0
Shoes,Sneakers,2014-02-11,2013-07-25,28.39,1
Shoes,Sneakers,2014-02-09,2014-01-30,40.72,1
Pants,Long,2014-02-13,2013-12-01,27.39,1
Shirts,Long-sleeve,2014-02-10,2013-11-28,55.09,1
Shoes,Dress,2014-02-09,2013-11-27,46.39,1
Pants,Long,2014-02-18,2014-02-08,36.72,1
Pants,Long,2014-02-05,2013-11-23,45.09,0
Shirts,T-shirt,2014-02-05,2012-08-08,41.09,0
Shoes,Sneakers,2014-02-15,2013-12-03,27.39,0
Shoes,Sneakers,2014-02-12,2010-01-20,85.6,1
Shoes,Sneakers,2014-02-09,2014-01-13,38.0,0
Shoes,Sneakers,2014-02-14,2014-02-04,21.0,1
Shirts,T-shirt,2014-02-12,2012-08-15,35.39,0
Shoes,Sneakers,2014-02-06,2010-01-14,41.0,1
Shoes,Boat,2014-02-14,2010-01-22,93.6,1
Shoes,Dress,2014-02-18,2013-08-01,27.0,1
Shoes,Boat,2014-02-16,2013-07-30,54.09,0
Pants,Short,2014-02-12,2012-08-15,36.39,0
Shoes,Dress,2014-02-10,2013-07-24,58.09,1
Shoes,Dress,2014-02-07,2014-01-28,60.09,1
Pants,Short,2014-02-08,2013-07-22,53.09,1
Pants,Short,2014-02-08,2012-08-11,39.39,1
Pants,Short,2014-02-12,2013-07-26,30.0,1
Shirts,T-shirt,2014-02-17,2013-07-31,93.6,1
Shoes,Boat,2014-02-18,2013-12-06,76.6,1
Pants,Short,2014-02-18,2013-12-06,43.09,0
Pants,Long,2014-02-12,2010-01-20,33.72,1
Pants,Short,2014-02-15,2014-01-19,94.6,1
Shoes,Dress,2014-02-05,2012-08-08,40.0,1
Pants,Short,2014-02-17,2013-07-31,41.09,0
Shoes,Sneakers,2014-02-18,2014-02-08,86.6,1
Shirts,T-shirt,2014-02-15,2012-08-18,43.09,1
Pants,Long,2014-02-07,2013-07-21,31.72,1
Shirts,Short-sleeve,2014-02-18,2012-08-21,32.0,1
Shirts,Short-sleeve,2014-02-17,2013-07-31,92.6,0
Pants,Long,2014-02-13,2013-12-01,38.39,1
Pants,Long,2014-02-18,2014-01-22,47.39,1
Shoes,Boat,2014-02-04,2013-11-22,77.6,0
Shoes,Sneakers,2014-02-07,2013-11-25,58.09,1
Shoes,Dress,2014-02-13,2013-07-27,29.72,1
Pants,Short,2014-02-09,2013-07-23,37.39,1
Pants,Long,2014-02-17,2013-07-31,30.0,1
Pants,Short,2014-02-17,2012-08-20,24.72,1
Shoes,Sneakers,2014-02-06,2013-07-20,43.39,1
Shoes,Dress,2014-02-13,2013-07-27,22.72,1
Pants,Short,2014-02-07,2014-01-11,32.0,1
Shirts,T-shirt,2014-02-07,2012-08-10,30.72,1
Shirts,Short-sleeve,2014-02-11,2014-01-15,25.0,1
Shoes,Sneakers,2014-02-05,2010-01-13,28.0,0
Shoes,Dress,2014-02-16,2010-01-24,40.39,0
Pants,Short,2014-02-10,2013-07-24,32.39,0
Shoes,Boat,2014-02-18,2014-01-22,44.39,1
Shoes,Sneakers,2014-02-08,2014-01-12,29.0,1
Shoes,Sneakers,2014-02-11,2013-07-25,81.6,1
Shoes,Dress,2014-02-07,2013-11-25,93.6,1
Shoes,Boat,2014-02-08,2013-11-26,84.6,1
Pants,Short,2014-02-14,2014-02-04,28.0,1
Pants,Short,2014-02-09,2013-11-27,27.0,0
Shoes,Boat,2014-02-15,2013-12-03,35.0,1
Shirts,T-shirt,2014-02-13,2010-01-21,37.72,1
Pants,Short,2014-02-10,2013-11-28,21.0,1
Shoes,Dress,2014-02-10,2014-01-31,78.6,1
Shoes,Dress,2014-02-15,2010-01-23,90.6,1
Shoes,Boat,2014-02-06,2014-01-10,36.0,1
Shirts,T-shirt,2014-02-10,2014-01-31,35.72,1
Shirts,Long-sleeve,2014-02-16,2010-01-24,34.0,1
Shirts,Long-sleeve,2014-02-14,2010-01-22,40.72,0
Shoes,Sneakers,2014-02-16,2012-08-19,56.09,1
Shoes,Sneakers,2014-02-16,2014-01-20,58.09,0
Shoes,Sneakers,2014-02-13,2013-12-01,30.0,1
Pants,Short,2014-02-12,2013-07-26,90.6,0
Shoes,Sneakers,2014-02-08,2013-11-26,26.0,1
Shoes,Sneakers,2014-02-11,2014-01-15,81.6,1
Shirts,Long-sleeve,2014-02-06,2014-01-27,36.0,1
Pants,Long,2014-02-15,2013-07-29,30.39,1
Shirts,T-shirt,2014-02-14,2014-01-18,36.0,1
Pants,Short,2014-02-08,2013-11-26,44.09,0
Shirts,Long-sleeve,2014-02-17,2013-12-05,79.6,1
Shoes,Boat,2014-02-08,2013-11-26,41.72,1
Shoes,Boat,2014-02-12,2014-02-02,32.39,0
Pants,Long,2014-02-16,2014-02-06,30.72,1
Shoes,Dress,2014-02-11,2014-02-01,49.09,1
Shoes,Sneakers,2014-02-11,2013-11-29,39.72,1
Shoes,Sneakers,2014-02-12,2010-01-20,81.6,1
Shirts,Long-sleeve,2014-02-05,2014-01-26,25.72,1
Shoes,Dress,2014-02-05,2014-01-09,52.09,1
Shirts,T-shirt,2014-02-13,2012-08-16,35.0,1
Shoes,Boat,2014-02-05,2014-01-09,40.72,1
Pants,Long,2014-02-11,2014-01-15,74.6,1
Pants,Short,2014-02-18,2012-08-21,39.0,1
Pants,Short,2014-02-04,2012-08-07,57.09,1
Shirts,Short-sleeve,2014-02-12,2010-01-20,88.6,1
Shoes,Boat,2014-02-10,2013-11-28,29.0,1
Shirts,Short-sleeve,2014-02-17,2010-01-25,24.0,1
Shirts,Short-sleeve,2014-02-09,2012-08-12,30.39,0
Pants,Long,2014-02-16,2013-07-30,28.39,1
Shoes,Dress,2014-02-04,2014-01-08,88.6,1
Shoes,Sneakers,2014-02-17,2012-08-20,57.09,1
Shirts,Short-sleeve,2014-02-10,2013-11-28,92.6,0
Pants,Short,2014-02-04,2014-01-08,36.72,1
Pants,Long,2014-02-12,2012-08-15,55.09,1
Shoes,Dress,2014-02-07,2010-01-15,23.0,0
Shirts,Short-sleeve,2014-02-09,2014-01-30,41.72,0
Shoes,Sneakers,2014-02-05,2013-07-19,30.0,1
Shoes,Sneakers,2014-02-05,2014-01-26,24.0,1
Shirts,Long-sleeve,2014-02-17,2013-07-31,35.72,1
Shoes,Dress,2014-02-04,2012-08-07,36.72,0
Shirts,Short-sleeve,2014-02-14,2012-08-17,44.39,1
Shoes,Boat,2014-02-16,2013-12-04,40.39,1
Shoes,Sneakers,2014-02-05,2014-01-09,28.72,1
Shirts,T-shirt,2014-02-14,2010-01-22,27.39,1
Shoes,Boat,2014-02-18,2012-08-21,43.39,1
Pants,Long,2014-02-09,2014-01-30,22.0,1
Shoes,Sneakers,2014-02-10,2013-07-24,31.39,1
Shoes,Sneakers,2014-02-11,2010-01-19,41.72,1
Shoes,Sneakers,2014-02-06,2014-01-27,24.72,1
Shirts,Short-sleeve,2014-02-16,2013-07-30,51.09,1
Shoes,Boat,2014-02-07,2012-08-10,31.72,1
Shoes,Sneakers,2014-02-08,2013-07-22,41.39,1
Shoes,Sneakers,2014-02-15,2014-01-19,31.0,1
Shoes,Dress,2014-02-13,2014-01-17,41.0,1
Shirts,T-shirt,2014-02-18,2013-08-01,40.09,1
Shoes,Dress,2014-02-08,2012-08-11,26.0,0
Shirts,Long-sleeve,2014-02-11,2013-11-29,45.39,1
Pants,Long,2014-02-18,2013-12-06,30.72,1
Pants,Long,2014-02-05,2010-01-13,33.0,1
Shoes,Dress,2014-02-10,2010-01-18,44.09,0
Pants,Long,2014-02-04,2014-01-08,85.6,1
Shoes,Boat,2014-02-16,2014-01-20,39.0,1
Shoes,Dress,2014-02-15,2013-12-03,77.6,0
Pants,Short,2014-02-18,2012-08-21,27.0,0
Pants,Long,2014-02-10,2013-07-24,43.39,1
Shoes,Dress,2014-02-12,2010-01-20,92.6,0
Pants,Short,2014-02-14,2014-01-18,45.09,1
Shoes,Sneakers,2014-02-05,2014-01-26,28.39,1
Shirts,Short-sleeve,2014-02-16,2014-01-20,53.09,1
Shoes,Dress,2014-02-15,2013-12-03,22.72,1
Shirts,Short-sleeve,2014-02-07,2010-01-15,23.0,1
Shoes,Boat,2014-02-09,2013-11-27,52.09,1
Shoes,Sneakers,2014-02-09,2010-01-17,84.6,1
Pants,Short,2014-02-13,2013-12-01,35.72,1
Shirts,Short-sleeve,2014-02-16,2010-01-24,79.6,1
Pants,Long,2014-02-12,2013-11-30,33.72,0
Shoes,Sneakers,2014-02-12,2013-07-26,22.0,0
Pants,Short,2014-02-17,2012-08-20,40.39,0
Shoes,Dress,2014-02-11,2010-01-19,28.72,0
Shoes,Boat,2014-02-08,2013-07-22,32.0,1
Shoes,Dress,2014-02-10,2013-07-24,82.6,1
Shirts,Long-sleeve,2014-02-10,2013-11-28,89.6,1
Shoes,Dress,2014-02-11,2013-11-29,26.72,1
Pants,Short,2014-02-16,2013-12-04,46.39,1
Shoes,Dress,2014-02-07,2014-01-11,87.6,1
Pants,Long,2014-02-09,2010-01-17,80.6,0
Pants,Long,2014-02-14,2014-01-18,57.09,1
Shoes,Dress,2014-02-06,2014-01-27,48.09,0
Shirts,Long-sleeve,2014-02-11,2010-01-19,35.0,0
Shoes,Sneakers,2014-02-13,2014-01-17,37.39,1
Shirts,T-shirt,2014-02-18,2010-01-26,75.6,1
Pants,Long,2014-02-09,2014-01-30,41.72,1
Pants,Long,2014-02-04,2014-01-08,41.0,1
Shirts,T-shirt,2014-02-13,2014-01-17,84.6,1
Pants,Short,2014-02-11,2013-07-25,45.39,1
Shoes,Dress,2014-02-04,2014-01-08,83.6,1
Shoes,Dress,2014-02-07,2013-07-21,40.0,1
Shoes,Sneakers,2014-02-16,2012-08-19,37.39,1
Shoes,Boat,2014-02-18,2012-08-21,37.0,1
Shoes,Dress,2014-02-16,2010-01-24,90.6,1
Pants,Long,2014-02-04,2014-01-25,92.6,1
Shirts,Long-sleeve,2014-02-09,2010-01-17,59.09,1
Shoes,Dress,2014-02-13,2012-08-16,38.39,1
Shirts,Long-sleeve,2014-02-18,2013-08-01,32.0,0
Pants,Short,2014-02-12,2012-08-15,32.0,1
Pants,Short,2014-02-10,2010-01-18,30.39,1
Shoes,Boat,2014-02-11,2014-01-15,46.39,0
Shoes,Sneakers,2014-02-08,2013-11-26,37.72,1
Pants,Long,2014-02-12,2012-08-15,25.72,1
Shirts,T-shirt,2014-02-14,2010-01-22,47.09,1
Shoes,Sneakers,2014-02-10,2014-01-14,30.39,1
Shoes,Boat,2014-02-13,2014-02-03,32.72,0
Pants,Short,2014-02-11,2013-11-29,88.6,1
Shoes,Dress,2014-02-06,2013-11-24,89.6,1
Shoes,Boat,2014-02-14,2014-02-04,21.0,0
Shoes,Sneakers,2014-02-06,2014-01-27,32.39,1
Shirts,T-shirt,2014-02-09,2013-11-27,75.6,1
Pants,Short,2014-02-07,2014-01-11,26.0,1
Shirts,Short-sleeve,2014-02-06,2013-07-20,23.0,1
Shoes,Dress,2014-02-13,2014-01-17,92.6,1
Pants,Short,2014-02-06,2013-07-20,39.0,1
Shoes,Dress,2014-02-11,2012-08-14,43.09,1
Pants,Long,2014-02-16,2012-08-19,28.0,1
Shoes,Dress,2014-02-10,2010-01-18,79.6,1
Shirts,T-shirt,2014-02-14,2010-01-22,86.6,1
Pants,Long,2014-02-12,2013-11-30,36.72,1
Shoes,Dress,2014-02-18,2012-08-21,42.72,1
Shirts,T-shirt,2014-02-06,2012-08-09,42.39,1
Shirts,Long-sleeve,2014-02-07,2013-11-25,54.09,1
Shirts,Long-sleeve,2014-02-08,2013-07-22,28.39,1
Pants,Long,2014-02-18,2014-02-08,46.39,1
Pants,Short,2014-02-18,2010-01-26,44.09,1
Pants,Short,2014-02-08,2014-01-12,46.39,1
Pants,Long,2014-02-05,2012-08-08,86.6,1
Shoes,Sneakers,2014-02-14,2013-07-28,34.72,1
Shoes,Sneakers,2014-02-04,2012-08-07,83.6,1
Shoes,Sneakers,2014-02-16,2013-12-04,26.72,1
Pants,Long,2014-02-12,2014-01-16,27.72,1
Shirts,Long-sleeve,2014-02-15,2014-01-19,34.39,1
Pants,Short,2014-02-17,2010-01-25,27.0,0
Shirts,T-shirt,2014-02-08,2010-01-16,31.39,1
Shirts,Long-sleeve,2014-02-15,2012-08-18,27.0,1
Shoes,Sneakers,2014-02-06,2013-11-24,60.09,1
Pants,Long,2014-02-13,2012-08-16,26.72,1
Pants,Long,2014-02-04,2013-11-22,47.09,1
Shoes,Dress,2014-02-11,2013-07-25,34.0,1
Pants,Short,2014-02-07,2013-07-21,85.6,1
Shirts,Short-sleeve,2014-02-07,2014-01-28,94.6,1
Pants,Short,2014-02-08,2010-01-16,42.09,1
Shoes,Boat,2014-02-12,2013-07-26,23.72,0
Pants,Long,2014-02-12,2013-11-30,29.72,1
Shoes,Dress,2014-02-10,2012-08-13,32.39,1
Shoes,Sneakers,2014-02-15,2012-08-18,52.09,1
Shirts,Short-sleeve,2014-02-06,2012-08-09,31.72,0
Shoes,Boat,2014-02-13,2010-01-21,37.39,1
Shirts,T-shirt,2014-02-18,2014-01-22,77.6,1
Shoes,Boat,2014-02-05,2014-01-26,41.39,1
Shoes,Dress,2014-02-18,2010-01-26,24.0,1
Shoes,Sneakers,2014-02-15,2013-07-29,93.6,1
Shoes,Dress,2014-02-11,2014-02-01,87.6,1
Shoes,Boat,2014-02-09,2013-11-27,40.39,0
Pants,Long,2014-02-16,2013-07-30,46.39,1
Shoes,Boat,2014-02-17,2010-01-25,39.0,1
Shoes,Dress,2014-02-18,2013-12-06,53.09,0
Shirts,Long-sleeve,2014-02-08,2014-01-12,44.09,0
Shoes,Sneakers,2014-02-18,2013-12-06,25.0,0
Pants,Long,2014-02-13,2014-01-17,47.09,1
Pants,Long,2014-02-10,2010-01-18,59.09,1
Shirts,Short-sleeve,2014-02-11,2014-01-15,39.72,1
Shoes,Boat,2014-02-07,2012-08-10,23.72,1
Pants,Long,2014-02-04,2010-01-12,41.72,1
Shoes,Boat,2014-02-05,2013-11-23,47.09,1
Shoes,Dress,2014-02-05,2014-01-09,29.39,1
Shirts,T-shirt,2014-02-15,2010-01-23,78.6,1
Shoes,Dress,2014-02-12,2014-01-16,79.6,1
Shoes,Sneakers,2014-02-14,2010-01-22,50.09,1
Pants,Long,2014-02-16,2012-08-19,25.0,1
Shirts,T-shirt,2014-02-12,2014-01-16,39.0,1
Shirts,Short-sleeve,2014-02-15,2013-12-03,54.09,1
Pants,Long,2014-02-12,2013-07-26,40.09,1
Shoes,Dress,2014-02-08,2014-01-12,37.72,0
Shoes,Dress,2014-02-15,2012-08-18,88.6,1
Shoes,Sneakers,2014-02-11,2010-01-19,36.72,1
Shirts,Short-sleeve,2014-02-09,2012-08-12,51.09,0
Shoes,Boat,2014-02-14,2012-08-17,25.0,1
Pants,Long,2014-02-12,2014-02-02,43.09,1
Shirts,Long-sleeve,2014-02-10,2010-01-18,52.09,1
Shoes,Sneakers,2014-02-04,2013-11-22,21.0,1
Shoes,Dress,2014-02-05,2014-01-26,30.39,0
Shoes,Boat,2014-02-14,2014-01-18,40.09,1
Shoes,Sneakers,2014-02-13,2014-01-17,41.72,1
Shoes,Boat,2014-02-07,2012-08-10,50.09,1
Pants,Long,2014-02-04,2013-11-22,36.0,0
Shoes,Sneakers,2014-02-05,2014-01-26,32.72,1
Shoes,Sneakers,2014-02-08,2013-11-26,24.0,1
Pants,Long,2014-02-09,2013-07-23,26.0,0
Shoes,Dress,2014-02-13,2012-08-16,30.72,1
Shoes,Dress,2014-02-18,2014-02-08,55.09,0
Pants,Short,2014-02-17,2013-07-31,33.0,0
Shoes,Sneakers,2014-02-13,2013-12-01,42.72,1
Shoes,Dress,2014-02-12,2014-02-02,27.39,0
Shoes,Sneakers,2014-02-14,2013-12-02,24.0,1
Shirts,T-shirt,2014-02-11,2010-01-19,53.09,0
Pants,Short,2014-02-16,2010-01-24,59.09,1
Shirts,T-shirt,2014-02-14,2014-02-04,40.09,1
Shoes,Boat,2014-02-18,2010-01-26,56.09,0
Shirts,Short-sleeve,2014-02-04,2010-01-12,33.39,1
Shoes,Dress,2014-02-08,2010-01-16,30.39,1
Pants,Long,2014-02-09,2014-01-30,53.09,1
Pants,Long,2014-02-17,2014-01-21,44.39,1
Shoes,Dress,2014-02-18,2010-01-26,49.09,1
Shoes,Sneakers,2014-02-06,2014-01-10,43.09,1
Shoes,Dress,2014-02-16,2010-01-24,94.6,0
Shoes,Boat,2014-02-09,2014-01-13,51.09,1
Pants,Long,2014-02-05,2010-01-13,30.0,1
Shirts,T-shirt,2014-02-11,2013-07-25,27.72,1
Shirts,Short-sleeve,2014-02-08,2010-01-16,40.09,1
Pants,Long,2014-02-04,2012-08-07,34.72,1
Shirts,Short-sleeve,2014-02-18,2013-08-01,30.39,1
Shoes,Sneakers,2014-02-10,2014-01-31,30.72,1
Shoes,Boat,2014-02-13,2014-02-03,27.39,1
Pants,Short,2014-02-12,2012-08-15,58.09,1
Pants,Short,2014-02-14,2014-02-04,43.09,1
Pants,Short,2014-02-11,2013-11-29,93.6,1
Pants,Short,2014-02-18,2014-02-08,34.0,1
Pants,Short,2014-02-18,2013-12-06,34.72,0
Pants,Short,2014-02-07,2013-07-21,49.09,1
Shoes,Dress,2014-02-18,2010-01-26,36.0,1
Shoes,Dress,2014-02-10,2013-07-24,24.0,1
Shoes,Sneakers,2014-02-18,2013-12-06,35.39,1
Shoes,Sneakers,2014-02-13,2013-07-27,58.09,0
Pants,Long,2014-02-05,2010-01-13,21.0,1
Shoes,Sneakers,2014-02-16,2013-12-04,30.39,1
Shoes,Sneakers,2014-02-07,2010-01-15,46.39,0
Shoes,Dress,2014-02-12,2014-02-02,75.6,1
Pants,Short,2014-02-09,2013-11-27,53.09,1
Shirts,Short-sleeve,2014-02-12,2013-07-26,32.72,1
Shirts,Long-sleeve,2014-02-11,2013-07-25,74.6,1
Pants,Long,2014-02-04,2010-01-12,85.6,1
Shoes,Sneakers,2014-02-13,2013-07-27,44.39,1
Pants,Long,2014-02-05,2014-01-26,32.72,1
Pants,Long,2014-02-15,2013-12-03,91.6,1
Shirts,Long-sleeve,2014-02-05,2012-08-08,29.0,1
Pants,Short,2014-02-08,2013-11-26,57.09,1
Pants,Long,2014-02-14,2012-08-17,29.72,1
Pants,Long,2014-02-12,2013-11-30,27.72,1
Shirts,Short-sleeve,2014-02-13,2013-07-27,91.6,1
